Year,Month,US_Gateway_AirportCode,Foreign_Gateway_AirportCode,carriergroup,Total
2015,11,JFK,CCS,1,1387
2015,1,CRP,GUA,1,15
2015,11,JFK,GEO,1,4875
2015,11,JFK,HAV,1,570
2015,11,JFK,HAV,1,45
2015,11,JFK,HAV,1,629
2015,11,JFK,YUL,0,47
2015,11,JFK,YUL,1,50
2015,11,JFK,YYZ,1,40
2015,11,KEH,YYJ,1,2
2015,11,LAS,MUC,0,9
2015,11,LAS,OBF,0,9
2015,11,LAS,PRG,1,2
2015,11,LAS,YVR,1,48
2015,11,LAS,YVR,0,11
2015,1,CVG,CUN,0,801
2015,1,CVG,CUN,1,1086
2015,1,CVG,PUJ,1,999
2015,11,LAX,EZE,0,8
2015,11,LAX,GVA,0,8
2015,11,LAX,HEL,0,9
2015,11,LAX,LIM,0,5
2015,11,LAX,LTN,0,2
2015,11,LAX,SJD,0,241
2015,11,LAX,TLC,1,5
2015,11,LAX,YEG,0,47
2015,11,LAX,YYZ,1,49
2015,11,LAX,CSL,1,158
2015,11,LAX,CSL,1,6
2015,11,LEX,YYZ,0,2
2015,11,LGB,YYC,0,46
2015,11,LRD,SAL,1,940
2015,11,MCO,GUA,1,313
2015,11,MCO,GVA,0,3
2015,11,MCO,HAV,1,1109
2015,11,MDW,YEG,0,43
2015,11,MDW,YUL,0,16
2015,11,MDW,YYC,0,48
2015,11,MDW,YYZ,0,20
2015,11,MIA,CFG,1,1391
2015,11,MIA,CFG,1,398
2015,11,MIA,CFG,1,233
2015,11,MIA,CUN,1,117
2015,11,MIA,CMW,1,1218
2015,11,MIA,CMW,1,521
2015,11,MIA,CMW,1,1327
2015,11,MIA,CMW,1,199
2015,11,MIA,CMW,1,177
2015,11,MIA,CMW,1,1958
2015,11,MIA,CUR,1,422
2015,11,MIA,FAB,0,1
2015,11,MIA,FPO,1,361
2015,11,MIA,GVA,0,2
2015,11,MIA,HAV,1,11798
2015,11,MIA,HAV,1,6000
2015,11,MIA,HAV,1,8391
2015,11,MIA,HAV,1,802
2015,11,MIA,HAV,1,6875
2015,11,MIA,HAV,1,207
2015,11,MIA,HAV,1,11711
2015,11,MIA,HOG,1,1993
2015,11,MIA,HOG,1,306
2015,11,MIA,HOG,1,808
2015,11,MIA,HOG,1,250
2015,11,MIA,HOG,1,267
2015,11,MIA,HOG,1,518
2015,11,MIA,MVD,0,2
2015,11,MIA,NAS,1,73
2015,11,MIA,NAS,1,68
2015,11,MIA,NCE,0,7
2015,11,MIA,NHT,0,11
2015,11,MIA,POS,1,52
2015,11,MIA,PUQ,0,11
2015,11,MIA,RIX,0,11
2015,1,DAL,LIN,0,5
2015,1,DAL,YOW,1,47
2015,1,DAL,YUL,1,54
2015,1,DAL,YWG,0,44
2015,11,MIA,SCL,0,1
2015,11,MIA,SCU,1,1046
2015,11,MIA,SCU,1,808
2015,11,MIA,SNU,1,2831
2015,11,MIA,SNU,1,1657
2015,11,MIA,SNU,1,207
2015,11,MIA,SNU,1,1986
2015,11,MIA,VKO,0,6
2015,11,MIA,YQX,0,4
2015,11,MIA,YYZ,1,53
2015,11,MIA,YYZ,0,3
2015,11,MMU,LYX,0,1
2015,11,MOT,YYC,0,5
2015,11,MSP,YVR,0,51
2015,11,MSP,YWG,0,46
2015,11,MSY,NAS,1,79
2015,11,MWH,YQR,0,8
2015,11,OGG,YYC,0,4
2015,11,OKC,YYZ,0,8
2015,11,OMA,YVR,1,232
2015,11,OME,PVS,1,1
2015,11,ORD,CUN,1,7398
2015,11,ORD,HUX,0,451
2015,1,DEN,VKO,0,5
2015,1,DEN,YEG,0,45
2015,11,ORD,PVR,1,1057
2015,11,ORD,YEG,1,50
2015,11,ORD,YYZ,0,27
2015,11,PDK,YYZ,1,2
2015,11,PDX,YVR,0,52
2015,11,PHL,YOW,1,138
2015,11,PHL,YUL,0,12
2015,11,PHL,YWG,1,46
2015,11,PHL,YYZ,1,90
2015,11,PHX,YOW,0,47
2015,11,PHX,YYZ,1,39
2015,11,PIT,CUN,1,687
2015,11,PIT,CUN,1,235
2015,11,PIT,PUJ,1,683
2015,11,PIT,PUJ,1,551
2015,11,PIT,SNN,0,2
2015,11,PIT,YUL,0,181
2015,11,PIT,YYC,1,53
2015,11,PIT,YYZ,0,93
2015,11,PSP,YVR,0,37
2015,11,PSP,YYC,0,2
2015,11,PSP,YYJ,0,3
2015,11,PWK,NCE,0,4
2015,11,RDU,CUN,1,119
2015,11,RDU,CUN,1,117
2015,11,RDU,EZE,1,8
2015,11,RDU,YOW,0,50
2015,11,RDU,YYZ,0,40
2015,11,RSW,HAV,1,138
2015,11,SAN,YVR,0,6
2015,11,SAT,GUA,1,60
2015,11,SAT,SAL,1,105
2015,11,SAT,SAP,1,45
2015,11,SAV,YYZ,0,8
2015,11,SBA,YYC,0,5
2015,11,SCF,YVR,0,2
2015,11,SCF,YYC,0,2
2015,11,SEA,FAB,0,1
2015,11,SFB,BHX,0,1199
2015,11,SFB,EMA,0,290
2015,11,SFB,LGW,0,1130
2015,11,SFB,MAN,0,1419
2015,11,SFO,KEF,0,2
2015,11,SFO,LBG,0,11
2015,11,SFO,TLC,0,2
2015,11,SFO,YVR,0,2
2015,11,SFO,YYC,0,7
2015,11,SFO,YYR,0,2
2015,11,SFO,YYZ,0,8
2015,11,SFO,SLM,0,3
2015,11,SJC,LTN,0,7
2015,11,SJC,MAD,0,1
2015,11,SJC,YVR,0,8
2015,11,SJC,YYC,0,47
2015,11,SJU,EIS,1,49
2015,11,SJU,SXM,1,6
2015,11,SMF,YYZ,1,43
2015,11,SRQ,YXU,0,2
2015,11,SRQ,YYC,0,107
2015,11,STL,CUN,1,117
2015,11,STL,POS,1,40
2015,11,SYR,NAS,1,83
2015,11,TEB,AEP,0,2
2015,11,TEB,AMS,0,1
2015,11,TEB,AMS,0,4
2015,11,TEB,ANE,0,3
2015,11,TEB,AXA,0,18
2015,11,TEB,BDA,1,4
2015,11,TEB,CAI,0,4
